Module name,Module type,Ports,5G/LTE,Voice,Supported router models,Layman description,Notes,Datasheet
C-NIM-2T,NIM,2x 100Mbps/1Gbps SFP/RJ45,No,No,"C8200, C8300, C8355-G2, C8375-E-G2",2-port 100Mbps/1Gbps Ethernet WAN NIM,Dual mode SFP or RJ45,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
C-NIM-1M,NIM,1x 1GbE/2.5GbE RJ45,No,No,"C8200, C8300",1-port 2.5Gbps mGig RJ45 Ethernet WAN NIM,Supports UPOE,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
C-NIM-1X,NIM,1x 1GbE/10GbE SFP+,No,No,"C8200, C8300, C8355-G2, C8375-E-G2",1-port 10Gbps Ethernet WAN NIM,Supports MACsec,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
NIM-ES2-4,NIM,4x 1GbE RJ45,No,No,"C8200, C8300",4-port Gigabit Layer 2 Ethernet Switch NIM,Entry level LAN switch,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
NIM-ES2-8,NIM,8x 1GbE RJ45,No,No,"C8200, C8300",8-port Gigabit Layer 2 Ethernet Switch NIM,Also available in PoE (-P) variant,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
A900-IMA8S,IM,8x 1GbE SFP,No,No,"ASR-902, ASR-903, ASR-907, ASR-914",8-port Gigabit Ethernet SFP Interface Module,Fiber expansion,cisco.com/c/en/us/td/docs/routers/asr903/release/notes/17-12-1/b-rn-xe-17-12-x-asr900/m-intro-17-12-x-asr900.html
A900-IMA8T,IM,8x 1GbE RJ45,No,No,"ASR-902, ASR-903, ASR-907, ASR-914",8-port Gigabit Ethernet RJ45 Interface Module,Copper expansion,cisco.com/c/en/us/td/docs/routers/asr903/release/notes/17-12-1/b-rn-xe-17-12-x-asr900/m-intro-17-12-x-asr900.html
A900-IMA1X,IM,1x 10GbE XFP,No,No,"ASR-902, ASR-903, ASR-907, ASR-914",1-port 10-Gigabit Ethernet XFP Interface Module,Single high-speed uplink,(https://data.nag.wiki/Cisco/Datasheets/Cisco_ASR_900_Series_Interface_Modules_Data_sheet.pdf)
A900-IMA16D,IM,16x T1/E1,No,Yes,"ASR-902, ASR-903, ASR-907, ASR-914",16-port T1/E1 Interface Module,Supports Data and Voice,cisco.com/c/en/us/td/docs/routers/asr903/release/notes/17-12-1/b-rn-xe-17-12-x-asr900/m-intro-17-12-x-asr900.html
A900-IMA2Z,IM,2x 10GbE XFP/SFP+,No,No,"ASR-902, ASR-903, ASR-907, ASR-914",2-port 10-Gigabit Ethernet Interface Module,Dual high-speed uplinks,(https://data.nag.wiki/Cisco/Datasheets/Cisco_ASR_900_Series_Interface_Modules_Data_sheet.pdf)
N560-IMA-2C,IM,,,,,,,
A900-IMA-8Z,IM,,,,,,,
A900-IMA-8CS1Z,IM,,,,,,,
N560-IMA-1W,IM,,,,,,,
N560-IMA-2C-DD,IM,,,,,,,
A900-IMA-8Z-L,IM,,,,,,,
N560-IMA-8Q/4L,IM,,,,,,,
